job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details,salary_available,avg_salary,city,skills_list
Data Analyst,Diverse Lynx,1-5 Yrs,1.0,5.0,₹ 0.1 - 24.42L/yr (AmbitionBox estimate),10000.0,2442000.0,Pune,365.0,Naukri,3.9,0.0,"MIS, Billing, SQL",Yes,1226000.0,Pune,"['Mis', 'Billing', 'Sql']"
SAS Data Analyst,Diverse Lynx,2-6 Yrs,2.0,6.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,365.0,Naukri,3.9,0.0,"SQL, Data Analyst, SAS Analyst",No,0.0,Bengaluru,"['Sql', 'Data Analyst', 'Sas Analyst']"
data analyst,Etomate Technology LLP,2-7 Yrs,2.0,7.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,365.0,Naukri,1.0,1.0,"Data Analyst, Analytics, Macros",No,0.0,Bengaluru,"['Data Analyst', 'Analytics', 'Macros']"
Data Analyst  -  MIS Report,Diverse Lynx,8-10 Yrs,8.0,10.0,₹ 3 - 18.6L/yr (AmbitionBox estimate),300000.0,1860000.0,Pune,365.0,Naukri,3.9,0.0,"MIS reporting, Data Analyst, Accounting",Yes,1080000.0,Pune,"['Mis Reporting', 'Data Analyst', 'Accounting']"
Data Analyst,RIGHT STEP CONSULTING PRIVATE LIMITED,0-5 Yrs,0.0,5.0,Not Disclosed,0.0,0.0,"New Delhi, Gurgaon / Gurugram",365.0,Naukri,3.9,0.0,"Data Analyst, SQL, PHP",No,0.0,Delhi,"['Data Analyst', 'Sql', 'Php']"
Associate Data Analyst,HUSYS CONSULTING LIMITED,2-5 Yrs,2.0,5.0,₹ 2.5 - 16L/yr (AmbitionBox estimate),250000.0,1600000.0,Hyderabad / Secunderabad,365.0,Naukri,3.9,0.0,"Help Desk, Customer Service, data analysis",Yes,925000.0,Hyderabad,"['Help Desk', 'Customer Service', 'Data Analysis']"
Payer Data Analyst,STAR4RALL IT SOLUTIONS PRIVATE LIMITED,3-7 Yrs,3.0,7.0,Not Disclosed,0.0,0.0,"Chennai, Pune, New Delhi
													+4 more",365.0,Naukri,3.9,0.0,"Health insurance, Data analysis, Claims",No,0.0,Chennai,"['Health Insurance', 'Data Analysis', 'Claims']"
Data Analyst,Ventures India Consultants,3-5 Yrs,3.0,5.0,₹ 2 - 21L/yr (AmbitionBox estimate),200000.0,2100000.0,New Delhi,365.0,Naukri,3.9,0.0,"Data analysis, SAP, data science",Yes,1150000.0,Delhi,"['Data Analysis', 'Sap', 'Data Science']"
Data Analyst,Fusion Plus Solutions Inc,2-4 Yrs,2.0,4.0,₹ 1.4 - 35L/yr (AmbitionBox estimate),140000.0,3500000.0,Hyderabad / Secunderabad,365.0,Naukri,3.9,0.0,"SQL, Python, Data Analyst",Yes,1820000.0,Hyderabad,"['Sql', 'Python', 'Data Analyst']"
Data Analyst,Fusion Plus Solutions Inc,2-4 Yrs,2.0,4.0,₹ 1.4 - 35L/yr (AmbitionBox estimate),140000.0,3500000.0,Hyderabad / Secunderabad,365.0,Naukri,3.9,0.0,"SQL, Python, Billing",Yes,1820000.0,Hyderabad,"['Sql', 'Python', 'Billing']"
Data Analyst,Fusion Plus Solutions Inc,2-4 Yrs,2.0,4.0,₹ 1.4 - 35L/yr (AmbitionBox estimate),140000.0,3500000.0,Hyderabad / Secunderabad,365.0,Naukri,3.9,0.0,"Architecture, SQL, Python",Yes,1820000.0,Hyderabad,"['Architecture', 'Sql', 'Python']"
Data Analyst,Fusion Plus Solutions Inc,2-4 Yrs,2.0,4.0,₹ 1.4 - 35L/yr (AmbitionBox estimate),140000.0,3500000.0,Hyderabad / Secunderabad,365.0,Naukri,3.9,0.0,"Healthcare, SQL, XML",Yes,1820000.0,Hyderabad,"['Healthcare', 'Sql', 'Xml']"
Data Analyst (Deepika),Fusion Plus Solutions Inc,1-4 Yrs,1.0,4.0,₹ 1 - 35L/yr (AmbitionBox estimate),100000.0,3500000.0,Hyderabad / Secunderabad,365.0,Naukri,3.9,0.0,"Healthcare, SQL, XML",Yes,1800000.0,Hyderabad,"['Healthcare', 'Sql', 'Xml']"
Data analyst,Fusion Plus Solutions Inc,2-4 Yrs,2.0,4.0,₹ 1.4 - 35L/yr (AmbitionBox estimate),140000.0,3500000.0,Hyderabad / Secunderabad,365.0,Naukri,3.9,0.0,"SQL, Python, Data Analyst",Yes,1820000.0,Hyderabad,"['Sql', 'Python', 'Data Analyst']"
Data Analyst,Fusion Plus Solutions Inc,2-4 Yrs,2.0,4.0,₹ 1.4 - 35L/yr (AmbitionBox estimate),140000.0,3500000.0,Hyderabad / Secunderabad,365.0,Naukri,3.9,0.0,"Unix, CRM, Data structures",Yes,1820000.0,Hyderabad,"['Unix', 'Crm', 'Data Structures']"
"Data Analyst, Python and SQL",Fusion Plus Solutions Inc,2-5 Yrs,2.0,5.0,₹ 1.4 - 26.5L/yr (AmbitionBox estimate),140000.0,2650000.0,Hyderabad / Secunderabad,365.0,Naukri,3.9,0.0,"SQL, Python, Quantitative analysis",Yes,1395000.0,Hyderabad,"['Sql', 'Python', 'Quantitative Analysis']"
Data Analyst,Saaki argus averil consulting,3-6 Yrs,3.0,6.0,₹ 1.1 - 18.7L/yr (AmbitionBox estimate),110000.0,1870000.0,Chennai,365.0,Naukri,3.9,0.0,"SAS, Consulting, Financial services",Yes,990000.0,Chennai,"['Sas', 'Consulting', 'Financial Services']"
Content and Community lead,Infinyte Club,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,365.0,Naukri,3.9,0.0,"SEO, Analytical, Digital marketing",No,0.0,Bengaluru,"['Seo', 'Analytical', 'Digital Marketing']"
Data Analyst,TNS holdings,2-3 Yrs,2.0,3.0,Not Disclosed,0.0,0.0,Remote,365.0,Naukri,3.9,0.0,"SQL, SAS, Process improvement",No,0.0,Remote,"['Sql', 'Sas', 'Process Improvement']"
Data Analyst,P.S International HR Consultants,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,Mumbai,365.0,Naukri,3.9,0.0,"SQL, Networking, Automation",No,0.0,Mumbai,"['Sql', 'Networking', 'Automation']"
Data Analyst (Credit Risk Analyst),Mantras2Success Consultants,2-3 Yrs,2.0,3.0,₹ 2.2 - 9.9L/yr (AmbitionBox estimate),220000.00000000003,990000.0,Hyderabad / Secunderabad,365.0,Naukri,3.9,0.0,"Financial services, BPO, SQL",Yes,605000.0,Hyderabad,"['Financial Services', 'Bpo', 'Sql']"
Data Analyst,Xpheno,2-5 Yrs,2.0,5.0,₹ 0.5 - 96L/yr (AmbitionBox estimate),50000.0,9600000.0,Bangalore / Bengaluru,365.0,Naukri,3.9,0.0,"SQL, microsoft, Oracle",Yes,4825000.0,Bengaluru,"['Sql', 'Microsoft', 'Oracle']"
Senior Data Analyst,Xpheno,3-6 Yrs,3.0,6.0,₹ 1.4 - 45L/yr (AmbitionBox estimate),140000.0,4500000.0,Bangalore / Bengaluru,365.0,Naukri,3.9,0.0,"Analytics, SQL, Data management",Yes,2320000.0,Bengaluru,"['Analytics', 'Sql', 'Data Management']"
Data Analyst,Xpheno,3-6 Yrs,3.0,6.0,₹ 1.5 - 96L/yr (AmbitionBox estimate),150000.0,9600000.0,Bangalore / Bengaluru,365.0,Naukri,3.9,0.0,"SQL, Data analysis, Consulting",Yes,4875000.0,Bengaluru,"['Sql', 'Data Analysis', 'Consulting']"
Data Analyst,Xpheno,4-8 Yrs,4.0,8.0,₹ 1.65 - 22.35L/yr (AmbitionBox estimate),165000.0,2235000.0,Mumbai,365.0,Naukri,3.9,0.0,"SQL, Auditing, Data mining",Yes,1200000.0,Mumbai,"['Sql', 'Auditing', 'Data Mining']"
Business Data Analyst General Ledger,Diverse Lynx,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,Mumbai,1460.0,Naukri,3.9,0.0,"Reconciliation, SQL, Taxation",No,0.0,Mumbai,"['Reconciliation', 'Sql', 'Taxation']"
SAS Developer,Diverse Lynx,4-8 Yrs,4.0,8.0,₹ 5 - 17L/yr (AmbitionBox estimate),500000.0,1700000.0,Bangalore / Bengaluru,1460.0,Naukri,3.9,0.0,"SQL, XML, Db2",Yes,1100000.0,Bengaluru,"['Sql', 'Xml', 'Db2']"
Finance / Cost / Data Analyst,mycityband,1-2 Yrs,1.0,2.0,₹ 1 - 23.4L/yr (AmbitionBox estimate),100000.0,2340000.0,Sachin,1460.0,Naukri,3.9,0.0,"Data Analyst, Excel, Cost",Yes,1220000.0,Sachin,"['Data Analyst', 'Excel', 'Cost']"
Engineer/Data Analyst,mycitynagpur,5-8 Yrs,5.0,8.0,Not Disclosed,0.0,0.0,Nagpur,1460.0,Naukri,3.9,0.0,Data Analyst,No,0.0,Nagpur,['Data Analyst']
Data Analyst,RIGHT STEP CONSULTING PRIVATE LIMITED,1-3 Yrs,1.0,3.0,₹ 1.15 - 17L/yr (AmbitionBox estimate),115000.0,1700000.0,Gurgaon / Gurugram,1460.0,Naukri,3.9,0.0,"Data Analyst, Market research, PHP",Yes,907500.0,Gurugram,"['Data Analyst', 'Market Research', 'Php']"
Data Analyst,RIGHT STEP CONSULTING PRIVATE LIMITED,1-4 Yrs,1.0,4.0,₹ 0.2 - 26L/yr (AmbitionBox estimate),20000.0,2600000.0,Gurgaon / Gurugram,1460.0,Naukri,3.9,0.0,"Data Analyst, Analytics, SQL",Yes,1310000.0,Gurugram,"['Data Analyst', 'Analytics', 'Sql']"
Data Analyst,mycitynagpur,1-5 Yrs,1.0,5.0,₹ 3 - 4.4L/yr (AmbitionBox estimate),300000.0,440000.00000000006,Nagpur,1460.0,Naukri,3.9,0.0,"Help Desk, Customer Service, data analysis",Yes,370000.0,Nagpur,"['Help Desk', 'Customer Service', 'Data Analysis']"
Data Analyst,mycitynagpur,3-7 Yrs,3.0,7.0,₹ 1.5 - 7.2L/yr (AmbitionBox estimate),150000.0,720000.0,Nagpur,1460.0,Naukri,3.9,0.0,"OMC, data reporting, Data Analyst",Yes,435000.0,Nagpur,"['Omc', 'Data Reporting', 'Data Analyst']"
Data Analysts,Prometheus Consulting,2-3 Yrs,2.0,3.0,₹ 0.25 - 18L/yr (AmbitionBox estimate),25000.0,1800000.0,Bangalore / Bengaluru,1825.0,Naukri,3.9,0.0,"Customer experience, Data Analyst, Market research",Yes,912500.0,Bengaluru,"['Customer Experience', 'Data Analyst', 'Market Research']"
Senior Data Scientist,JoinHandsHR,3-8 Yrs,3.0,8.0,₹ 4 - 50L/yr (AmbitionBox estimate),400000.0,5000000.0,Mumbai,1825.0,Naukri,3.9,0.0,"Data Scientist, Data Analyst",Yes,2700000.0,Mumbai,"['Data Scientist', 'Data Analyst']"
Artificial intelligence Architect,Cotocus.com,4-9 Yrs,4.0,9.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,365.0,Naukri,3.9,0.0,"Cloud computing, Machine learning, Analytical",No,0.0,Bengaluru,"['Cloud Computing', 'Machine Learning', 'Analytical']"
Data Analysts,Cotocus.com,1-4 Yrs,1.0,4.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,365.0,Naukri,3.9,0.0,"Analytical, Continuous improvement, Data Analyst",No,0.0,Bengaluru,"['Analytical', 'Continuous Improvement', 'Data Analyst']"
Machine learning Architect,Cotocus.com,5-9 Yrs,5.0,9.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,365.0,Naukri,3.9,0.0,"Machine learning, Life sciences, Architectural design",No,0.0,Bengaluru,"['Machine Learning', 'Life Sciences', 'Architectural Design']"
Data Architect,Cotocus.com,6-10 Yrs,6.0,10.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,365.0,Naukri,3.9,0.0,"Scrum, Data analysis, Data management",No,0.0,Bengaluru,"['Scrum', 'Data Analysis', 'Data Management']"
Data Analyst,Proclink Consulting Services LLP,4-8 Yrs,4.0,8.0,₹ 0.13 - 44L/yr (AmbitionBox estimate),13000.0,4400000.0,"Ahmedabad, Hyderabad / Secunderabad",365.0,Naukri,3.9,0.0,"SAS, Analytics, SQL",Yes,2206500.0,Ahmedabad,"['Sas', 'Analytics', 'Sql']"
Data Analyst- SAS,eTeam Inc.,4-5 Yrs,4.0,5.0,₹ 0.2 - 96L/yr (AmbitionBox estimate),20000.0,9600000.0,Bangalore / Bengaluru,365.0,Naukri,3.9,0.0,"Data Analyst, Performance tuning, Unix shell scripting",Yes,4810000.0,Bengaluru,"['Data Analyst', 'Performance Tuning', 'Unix Shell Scripting']"
Data Analyst,Add On IT Systems,3-4 Yrs,3.0,4.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,365.0,Naukri,3.9,0.0,"MS SQL, PDF, Operating systems",No,0.0,Bengaluru,"['Ms Sql', 'Pdf', 'Operating Systems']"
Data Analyst,eTeam Inc.,1-3 Yrs,1.0,3.0,₹ 1 - 25L/yr (AmbitionBox estimate),100000.0,2500000.0,Hyderabad / Secunderabad,365.0,Naukri,3.9,0.0,"Data Analyst, Project management, Operations",Yes,1300000.0,Hyderabad,"['Data Analyst', 'Project Management', 'Operations']"
Data Analyst - 1,DOPTIT PRIVATE LIMITED,1-4 Yrs,1.0,4.0,Not Disclosed,0.0,0.0,Cochin/Ernakulam/Kochi,365.0,Naukri,3.9,0.0,"Linux, MS SQL, SQL scripting",No,0.0,Cochin,"['Linux', 'Ms Sql', 'Sql Scripting']"
Data Analyst,Primohunt Corporate,0-3 Yrs,0.0,3.0,Not Disclosed,0.0,0.0,Pune,365.0,Naukri,3.9,0.0,"Analytical skills, Market study, Data analysis",No,0.0,Pune,"['Analytical Skills', 'Market Study', 'Data Analysis']"
Data Analyst,Falcon Smart IT,2-6 Yrs,2.0,6.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,730.0,Naukri,3.9,0.0,"ERP, Data analysis, Macros",No,0.0,Bengaluru,"['Erp', 'Data Analysis', 'Macros']"
Data Analyst,Etomate Technology LLP,1-4 Yrs,1.0,4.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,730.0,Naukri,1.0,1.0,"Project management, CRM, ERP",No,0.0,Bengaluru,"['Project Management', 'Crm', 'Erp']"
Data Analyst,Diverse Lynx,1-5 Yrs,1.0,5.0,₹ 1.65 - 39.5L/yr (AmbitionBox estimate),165000.0,3950000.0,Bangalore / Bengaluru,730.0,Naukri,3.9,0.0,"SQL, Manager Quality Assurance, metadata",Yes,2057500.0,Bengaluru,"['Sql', 'Manager Quality Assurance', 'Metadata']"
"Data analyst,Pan India",Z2plus Placement & Security Agency Pvt. Ltd.,2-5 Yrs,2.0,5.0,₹ 0.19 - 39.5L/yr (AmbitionBox estimate),19000.0,3950000.0,Remote,730.0,Naukri,3.9,0.0,"Python, Data modeling, Data mining",Yes,1984500.0,Remote,"['Python', 'Data Modeling', 'Data Mining']"
Data Analyst,Z2plus Placement & Security Agency Pvt. Ltd.,2-5 Yrs,2.0,5.0,₹ 1.25 - 13.616L/yr (AmbitionBox estimate),125000.0,1361600.0,Bangalore / Bengaluru,730.0,Naukri,3.9,0.0,"Python, Data modeling, Data mining",Yes,743300.0,Bengaluru,"['Python', 'Data Modeling', 'Data Mining']"
Data Analyst,Z2plus Placement & Security Agency Pvt. Ltd.,2-3 Yrs,2.0,3.0,₹ 2 - 7.5L/yr (AmbitionBox estimate),200000.0,750000.0,Panaji/Panjim,730.0,Naukri,3.9,0.0,"Supply chain, Data modeling, Project management",Yes,475000.0,Panaji,"['Supply Chain', 'Data Modeling', 'Project Management']"
data analyst,Disha Consultant,4-8 Yrs,4.0,8.0,₹ 2.8 - 8.5L/yr (AmbitionBox estimate),280000.0,850000.0,Jaipur,730.0,Naukri,3.9,0.0,"Automation, tableau, Excel",Yes,565000.0,Jaipur,"['Automation', 'Tableau', 'Excel']"
"Sr Data Engineer (SQL, AWS Pipeline, Python)",TechExped Technology Services,4-9 Yrs,4.0,9.0,Not Disclosed,0.0,0.0,Mumbai,730.0,Naukri,3.9,0.0,"Python, Aws, Sql Queries",No,0.0,Mumbai,"['Python', 'Aws', 'Sql Queries']"
Data Analyst,TMD - The Modern Dimension,3-8 Yrs,3.0,8.0,₹ 0.2 - 44L/yr (AmbitionBox estimate),20000.0,4400000.0,"New Delhi, Bangalore / Bengaluru",730.0,Naukri,3.9,0.0,"Power Bi, Sql Server, Tableau",Yes,2210000.0,Delhi,"['Power Bi', 'Sql Server', 'Tableau']"
Power Bi/ SQL Tableau Developer/Data analyst,Busisol Sourcing India Pvt Ltd,6-8 Yrs,6.0,8.0,Not Disclosed,0.0,0.0,Hosapete,730.0,Naukri,3.9,0.0,"XML, Production support, MS SQL",No,0.0,Hosapete,"['Xml', 'Production Support', 'Ms Sql']"
Data Analyst,Teplar Solutions,0-4 Yrs,0.0,4.0,Not Disclosed,0.0,0.0,Coimbatore,1460.0,Naukri,3.9,0.0,"Customer support, Analytics, Workflow",No,0.0,Coimbatore,"['Customer Support', 'Analytics', 'Workflow']"
Business Development Executive,Teplar Solutions,2-4 Yrs,2.0,4.0,Not Disclosed,0.0,0.0,Coimbatore,1460.0,Naukri,3.9,0.0,"Cold calling, Customer support, Analytics",No,0.0,Coimbatore,"['Cold Calling', 'Customer Support', 'Analytics']"
Data Analyst,CLINAARC CLINICAL DATAMANAGEMENT PRIVATE LIMITED,2-3 Yrs,2.0,3.0,Not Disclosed,0.0,0.0,Nagpur,1460.0,Naukri,3.9,0.0,Data Analyst,No,0.0,Nagpur,['Data Analyst']
Data Analyst,EnergyTech Ventures,2-5 Yrs,2.0,5.0,Not Disclosed,0.0,0.0,Kolkata,1460.0,Naukri,3.9,0.0,"Process improvement, Data collection, Managed services",No,0.0,Kolkata,"['Process Improvement', 'Data Collection', 'Managed Services']"
Sr Data Analyst,CodeHall Technology,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,1460.0,Naukri,3.9,0.0,"Javascript, Ajax, jQuery",No,0.0,Bengaluru,"['Javascript', 'Ajax', 'Jquery']"
Sr Data Analyst,CodeHall Technology,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,1460.0,Naukri,3.9,0.0,"Data analysis, Product management, Forensic",No,0.0,Bengaluru,"['Data Analysis', 'Product Management', 'Forensic']"
Big Data Analyst,R3coder,1-6 Yrs,1.0,6.0,Not Disclosed,0.0,0.0,Ahmedabad,1460.0,Naukri,3.9,0.0,"Core Java, Data structures, Outsourcing",No,0.0,Ahmedabad,"['Core Java', 'Data Structures', 'Outsourcing']"
Big Data Analyst,CereSight,3-8 Yrs,3.0,8.0,Not Disclosed,0.0,0.0,"Chennai, Pune, New Delhi
													+4 more",1825.0,Naukri,3.9,0.0,"Computer science, HBase, Data processing",No,0.0,Chennai,"['Computer Science', 'Hbase', 'Data Processing']"
Editing and Proof Reading the written content,99Plus IT Solutions,2-5 Yrs,2.0,5.0,Not Disclosed,0.0,0.0,Vadodara,1825.0,Naukri,3.9,0.0,"Proof reading, Data Analyst",No,0.0,Vadodara,"['Proof Reading', 'Data Analyst']"
Big Data Analyst - Part time,Write Academy,1-6 Yrs,1.0,6.0,Not Disclosed,0.0,0.0,Chennai,1825.0,Naukri,3.9,0.0,"SQL, Oracle, MySQL",No,0.0,Chennai,"['Sql', 'Oracle', 'Mysql']"
data entry,Right Fit Resources,0-1 Yrs,0.0,1.0,Not Disclosed,0.0,0.0,Bhubaneshwar,1095.0,Naukri,3.9,0.0,"Data Entry Operator, Data Analyst, Computer Operator",No,0.0,Bhubaneshwar,"['Data Entry Operator', 'Data Analyst', 'Computer Operator']"
Data Analysts,DoDogy,1-2 Yrs,1.0,2.0,Not Disclosed,0.0,0.0,New Delhi,1095.0,Naukri,3.9,0.0,"data integrity, Research",No,0.0,Delhi,"['Data Integrity', 'Research']"
Computer Operator In  -  Computer Clerk,RIGHT STEP CONSULTING PRIVATE LIMITED,0-2 Yrs,0.0,2.0,Not Disclosed,0.0,0.0,Gurgaon / Gurugram,1460.0,Naukri,3.9,0.0,"Back office, Data entry, MIS",No,0.0,Gurugram,"['Back Office', 'Data Entry', 'Mis']"
